Site,Marca,Nome,Preço,Data
kabum,Galax,RTX 4060,2399.9,2025-04-17
kabum,Gigabyte,RTX 4060,2699.9,2025-04-17
kabum,Galax,RTX 4060,2703.55,2025-04-17
kabum,ASUS,RTX 5060 ti,4599.99,2025-04-17
kabum,Gigabyte,RTX 5060 ti,4499.99,2025-04-17
kabum,Gigabyte,RTX 5060 ti,4599.99,2025-04-17
kabum,AORUS,RTX 5060 ti,4999.99,2025-04-17
kabum,AERO,RTX 5060 ti,4799.99,2025-04-17
kabum,EAGLEOC,RTX 5060 ti,4599.99,2025-04-17
kabum,ASUS,RTX 5060 ti,4699.99,2025-04-17
kabum,ASRock,RX 6600,1599.9,2025-04-17
kabum,Gigabyte,RX 7600,1999.99,2025-04-17
kabum,Palit,RTX 4060,2299.99,2025-04-17
kabum,Gigabyte,RTX 4060 ti,3299.99,2025-04-17
kabum,XFX,RX 7600,1899.99,2025-04-17
kabum,Galax,RTX 3050,1399.99,2025-04-17
kabum,Galax,RTX 4060,2399.9,2025-04-17
kabum,Gigabyte,RTX 4060,2699.9,2025-04-17
kabum,Galax,RTX 4060,2703.55,2025-04-17
kabum,ASUS,RTX 5060 ti,4599.99,2025-04-18
kabum,Gigabyte,RTX 5060 ti,4499.99,2025-04-18
kabum,AORUS,RTX 5060 ti,4999.99,2025-04-18
kabum,Gigabyte,RTX 5060 ti,4599.99,2025-04-18
kabum,AERO,RTX 5060 ti,4799.99,2025-04-18
kabum,EAGLEOC,RTX 5060 ti,4599.99,2025-04-18
kabum,ASRock,RX 6600,1599.9,2025-04-18
kabum,Gigabyte,RX 7600,1999.99,2025-04-18
kabum,Palit,RTX 4060,2299.99,2025-04-18
kabum,XFX,RX 7600,1899.99,2025-04-18
kabum,Gigabyte,RTX 4060 ti,3299.99,2025-04-18
kabum,Galax,RTX 3050,1399.99,2025-04-18
kabum,Galax,RTX 4060,2399.9,2025-04-18
kabum,Gigabyte,RTX 4060,2699.9,2025-04-18
kabum,Galax,RTX 4060,2703.55,2025-04-18
kabum,Gigabyte,RTX 3050,1199.99,2025-04-18
kabum,MSI,RTX 3060,2199.99,2025-04-18
kabum,MSI,RTX 3050,1609.9,2025-04-18
kabum,Gigabyte,RTX 5070 ti,7299.99,2025-04-18
kabum,ASUS,RTX 4060,2499.99,2025-04-18
kabum,MSI,RTX 4060,2299.99,2025-04-18
kabum,ASUS,RTX 4060 ti,3499.99,2025-04-18
kabum,Palit,RTX 5070,5799.99,2025-04-18
kabum,Inno3D,RTX 3060,2149.99,2025-04-18
kabum,ASUS,RTX 3050,1299.9,2025-04-18
kabum,ZOTAC,RTX 3060,2347.7,2025-04-18
kabum,ASUS,RTX 4060,2499.9,2025-04-18
kabum,ASUS,RTX 4060 ti,3299.99,2025-04-18
kabum,ASRock,RX 6600,1599.9,2025-04-18
kabum,PCYES,RX 550,549.9,2025-04-18
kabum,MSI,RTX 5070 ti,8399.99,2025-04-18
kabum,Inno3D,RTX 4060,2299.99,2025-04-18
kabum,Sapphire,RX 7900 xt,5799.99,2025-04-18
kabum,EAGLEOC,RTX 4060,2699.99,2025-04-18
kabum,Gigabyte,RX 9070 xt,7699.99,2025-04-18
kabum,Gigabyte,RTX 5070 ti,8299.99,2025-04-18
kabum,Inno3D,RTX 3050,1289.9,2025-04-18
kabum,Colorful,RTX 4060,2299.99,2025-04-18
kabum,Gigabyte,RTX 5080,11999.99,2025-04-18
kabum,ASRock,RX 7600,2299.99,2025-04-18
kabum,Gigabyte,RTX 5070,5399.99,2025-04-18
kabum,ZOTAC,RTX 4060,2354.9,2025-04-18
kabum,Palit,RTX 5080,11999.99,2025-04-18
kabum,Palit,RTX 5070,6899.99,2025-04-18
kabum,Gigabyte,RTX 5070 ti,7999.99,2025-04-18
kabum,MSI,RTX 5070,6399.99,2025-04-18
kabum,ASUS,RTX 5090,29999.99,2025-04-18
kabum,Sapphire,RX 7900 xt,8899.99,2025-04-18
kabum,Gigabyte,RTX 5070,6599.99,2025-04-18
kabum,AERO,RTX 5080,11599.99,2025-04-18
kabum,MSI,RTX 5070 ti,9199.99,2025-04-18
kabum,Gigabyte,RX 7700 xt,3799.99,2025-04-18
kabum,ASUS,RTX 4060 ti,3499.99,2025-04-18
kabum,ASRock,RX 7600,1999.99,2025-04-18
kabum,PCYES,RTX 2060,1499.99,2025-04-18
kabum,ASUS,RX 6600,1949.99,2025-04-18
kabum,ASUS,RTX 5070 ti,9299.99,2025-04-18
kabum,Gigabyte,RTX 4060,2699.99,2025-04-18
kabum,Gigabyte,RTX 5090,25999.99,2025-04-18
kabum,MSI,RTX 5080,10799.99,2025-04-18
kabum,Inno3D,RTX 5070,5499.99,2025-04-18
kabum,Palit,RTX 5080,9999.99,2025-04-18
kabum,ASUS,RTX 5070 ti,7999.99,2025-04-18
kabum,PCYES,RTX 3050,1349.0,2025-04-18
kabum,MSI,RTX 5070,6499.99,2025-04-18
kabum,AFOX,RX 550,539.9,2025-04-18
kabum,MSI,RTX 3050,1449.0,2025-04-18
kabum,ASUS,RTX 4060 ti,3899.99,2025-04-18
kabum,AORUS,RTX 5080,13999.99,2025-04-18
kabum,MSI,RTX 5070 ti,9300.0,2025-04-18
kabum,Galax,RTX 5080,11699.99,2025-04-18
kabum,AFOX,RX 550,578.4,2025-04-18
kabum,Palit,RTX 5090,22999.99,2025-04-18
kabum,ASUS,RTX 4060,2499.99,2025-04-18
kabum,Palit,RTX 5090,23999.99,2025-04-18
kabum,PNY,RTX 4060,2602.59,2025-04-18
kabum,Gigabyte,RTX 5070,5209.9,2025-04-18
kabum,Galax,RTX 5080,10999.9,2025-04-18
kabum,PCYES,RTX 2060 super,1599.99,2025-04-18
kabum,Gigabyte,RTX 5070,6699.99,2025-04-18
kabum,ASUS,RTX 5090,28999.99,2025-04-18
kabum,ASUS,RTX 5070,6599.99,2025-04-18
kabum,Gigabyte,RTX 5070 ti,7999.99,2025-04-18
kabum,Inno3D,RTX 5070,5999.99,2025-04-18
kabum,MSI,RTX 5080,11999.99,2025-04-18
kabum,Gigabyte,RTX 5070,5429.9,2025-04-18
kabum,MSI,RTX 4060,2589.9,2025-04-18
kabum,ASRock,RX 7900 xt,7599.99,2025-04-18
kabum,ASRock,RX 6600,1689.12,2025-04-18
kabum,MSI,RTX 3060,2577.39,2025-04-18
kabum,PowerColor,RX 550,482.55,2025-04-18
kabum,Inno3D,RTX 4060 ti,5005.19,2025-04-18
kabum,Galax,RTX 3050,1693.99,2025-04-18
kabum,Galax,RTX 5070 ti,7999.99,2025-04-18
kabum,ASUS,RTX 5070,5999.99,2025-04-18
kabum,ASUS,RX 9070,6299.99,2025-04-18
kabum,MSI,RTX 3050,1289.9,2025-04-18
kabum,AERO,RTX 5070,6352.43,2025-04-18
kabum,Gigabyte,RX 9070,6623.99,2025-04-18
kabum,ASUS,RX 7600 xt,3899.99,2025-04-18
kabum,Gigabyte,RTX 5090,25999.99,2025-04-18
kabum,AORUS,RTX 5070 ti,9999.99,2025-04-18
kabum,PCYES,RTX 2060,1796.67,2025-04-18
kabum,MSI,RTX 4060,2937.09,2025-04-18
kabum,PCYES,RX 570,799.99,2025-04-18
kabum,AERO,RTX 5070,6799.99,2025-04-18
kabum,ASUS,RX 9070 xt,7599.99,2025-04-18
kabum,MSI,RTX 5080,9999.99,2025-04-18
kabum,ASRock,RX 9070,6499.99,2025-04-18
kabum,AERO,RTX 5070 ti,9499.99,2025-04-18
kabum,MSI,RTX 5080,15122.6,2025-04-18
kabum,Gigabyte,RTX 5080,10799.0,2025-04-18
kabum,Galax,RTX 3060,2909.9,2025-04-18
kabum,Inno3D,RTX 3060,2399.9,2025-04-18
kabum,ASUS,RTX 4060,3222.0,2025-04-18
kabum,Gigabyte,RTX 5080,11199.0,2025-04-18
kabum,ZOTAC,RTX 5080,11870.0,2025-04-18
kabum,Palit,RTX 4060,3166.89,2025-04-18
kabum,Palit,RTX 3050,1249.99,2025-04-18
kabum,ASUS,RX 7600 xt,2999.99,2025-04-18
kabum,AORUS,RTX 5080,14999.99,2025-04-18
kabum,Gigabyte,RTX 5070 ti,8999.99,2025-04-18
kabum,PCYES,RX 570,649.99,2025-04-18
kabum,ASUS,RTX 5080,12999.99,2025-04-18
kabum,AORUS,RTX 5080,13999.99,2025-04-18
kabum,ASUS,RX 9070 xt,7999.99,2025-04-18
kabum,EAGLEOC,RTX 5070,8547.5,2025-04-18
kabum,ASUS,RTX 5080,12299.99,2025-04-18
kabum,XFX,RX 7900 xt,8399.99,2025-04-18
kabum,XFX,RX 7600,1859.0,2025-04-18
kabum,PCYES,RTX 3050,1695.77,2025-04-18
kabum,Galax,RTX 5070 ti,9441.0,2025-04-18
kabum,ASUS,RTX 5090,25999.99,2025-04-18
kabum,XFX,RX 7600,1999.99,2025-04-18
kabum,Inno3D,RTX 3050,1720.58,2025-04-18
kabum,AORUS,RTX 5080,15128.27,2025-04-18
kabum,Palit,RTX 4070,5099.9,2025-04-18
kabum,Galax,RTX 5070 ti,9999.99,2025-04-18
kabum,Inno3D,RTX 5070,5999.99,2025-04-18
kabum,PCYES,RTX 3050,1299.99,2025-04-18
kabum,ASUS,RTX 3050,1634.9,2025-04-18
kabum,ASUS,RX 7600,2699.91,2025-04-18
kabum,ASUS,RTX 4060,2640.19,2025-04-18
